[22;0t]0;IPython: OptNet_Modified/classification  + Number of params: 159010
Train Epoch: 0.21 [12672/60000 (21%)]	Loss: 0.111668	Error: 3.125000
Train Epoch: 0.21 [12736/60000 (21%)]	Loss: 0.090316	Error: 3.125000
Train Epoch: 0.21 [12800/60000 (21%)]	Loss: 0.233979	Error: 9.375000
Train Epoch: 0.21 [12864/60000 (21%)]	Loss: 0.288280	Error: 7.812500
Train Epoch: 0.21 [12928/60000 (21%)]	Loss: 0.233767	Error: 7.812500
Train Epoch: 0.22 [12992/60000 (22%)]	Loss: 0.176089	Error: 4.687500
Train Epoch: 0.22 [13056/60000 (22%)]	Loss: 0.394805	Error: 15.625000
Train Epoch: 0.22 [13120/60000 (22%)]	Loss: 0.278272	Error: 9.375000
Train Epoch: 0.22 [13184/60000 (22%)]	Loss: 0.317797	Error: 12.500000
Train Epoch: 0.22 [13248/60000 (22%)]	Loss: 0.264887	Error: 6.250000
Train Epoch: 0.22 [13312/60000 (22%)]	Loss: 0.245540	Error: 7.812500
Train Epoch: 0.22 [13376/60000 (22%)]	Loss: 0.190771	Error: 6.250000
Train Epoch: 0.22 [13440/60000 (22%)]	Loss: 0.290550	Error: 14.062500
Train Epoch: 0.22 [13504/60000 (22%)]	Loss: 0.272483	Error: 10.937500
Train Epoch: 0.22 [13568/60000 (22%)]	Loss: 0.171894	Error: 9.375000
Train Epoch: 0.23 [13632/60000 (23%)]	Loss: 0.219932	Error: 4.687500
Train Epoch: 0.23 [13696/60000 (23%)]	Loss: 0.200503	Error: 6.250000
Train Epoch: 0.23 [13760/60000 (23%)]	Loss: 0.344170	Error: 9.375000
Train Epoch: 0.23 [13824/60000 (23%)]	Loss: 0.214234	Error: 7.812500
Train Epoch: 0.23 [13888/60000 (23%)]	Loss: 0.178175	Error: 4.687500
Train Epoch: 0.23 [13952/60000 (23%)]	Loss: 0.504676	Error: 10.937500
Train Epoch: 0.23 [14016/60000 (23%)]	Loss: 0.484755	Error: 17.187500
Train Epoch: 0.23 [14080/60000 (23%)]	Loss: 0.148023	Error: 6.250000
Train Epoch: 0.23 [14144/60000 (23%)]	Loss: 0.299254	Error: 9.375000
Train Epoch: 0.24 [14208/60000 (24%)]	Loss: 0.258671	Error: 7.812500
Train Epoch: 0.24 [14272/60000 (24%)]	Loss: 0.131711	Error: 4.687500
Train Epoch: 0.24 [14336/60000 (24%)]	Loss: 0.184602	Error: 6.250000
Train Epoch: 0.24 [14400/60000 (24%)]	Loss: 0.201411	Error: 7.812500
Train Epoch: 0.24 [14464/60000 (24%)]	Loss: 0.399895	Error: 14.062500
Train Epoch: 0.24 [14528/60000 (24%)]	Loss: 0.250126	Error: 10.937500
Train Epoch: 0.24 [14592/60000 (24%)]	Loss: 0.199254	Error: 7.812500
Train Epoch: 0.24 [14656/60000 (24%)]	Loss: 0.115340	Error: 1.562500
Train Epoch: 0.24 [14720/60000 (24%)]	Loss: 0.075352	Error: 1.562500
Train Epoch: 0.25 [14784/60000 (25%)]	Loss: 0.178338	Error: 4.687500
Train Epoch: 0.25 [14848/60000 (25%)]	Loss: 0.069636	Error: 1.562500
Train Epoch: 0.25 [14912/60000 (25%)]	Loss: 0.166018	Error: 4.687500
Train Epoch: 0.25 [14976/60000 (25%)]	Loss: 0.121460	Error: 3.125000
Train Epoch: 0.25 [15040/60000 (25%)]	Loss: 0.207671	Error: 7.812500
Train Epoch: 0.25 [15104/60000 (25%)]	Loss: 0.152048	Error: 4.687500
Train Epoch: 0.25 [15168/60000 (25%)]	Loss: 0.209526	Error: 7.812500
Train Epoch: 0.25 [15232/60000 (25%)]	Loss: 0.311530	Error: 9.375000
Train Epoch: 0.25 [15296/60000 (25%)]	Loss: 0.124374	Error: 3.125000
Train Epoch: 0.25 [15360/60000 (25%)]	Loss: 0.083515	Error: 1.562500
Train Epoch: 0.26 [15424/60000 (26%)]	Loss: 0.116010	Error: 3.125000
Train Epoch: 0.26 [15488/60000 (26%)]	Loss: 0.199948	Error: 4.687500
Train Epoch: 0.26 [15552/60000 (26%)]	Loss: 0.422638	Error: 15.625000
Train Epoch: 0.26 [15616/60000 (26%)]	Loss: 0.154370	Error: 6.250000
Train Epoch: 0.26 [15680/60000 (26%)]	Loss: 0.467088	Error: 12.500000
Train Epoch: 0.26 [15744/60000 (26%)]	Loss: 0.183924	Error: 4.687500
Train Epoch: 0.26 [15808/60000 (26%)]	Loss: 0.199992	Error: 7.812500
Train Epoch: 0.26 [15872/60000 (26%)]	Loss: 0.500108	Error: 12.500000
Train Epoch: 0.26 [15936/60000 (26%)]	Loss: 0.212321	Error: 3.125000
Train Epoch: 0.27 [16000/60000 (27%)]	Loss: 0.161472	Error: 4.687500
Train Epoch: 0.27 [16064/60000 (27%)]	Loss: 0.376197	Error: 10.937500
Train Epoch: 0.27 [16128/60000 (27%)]	Loss: 0.166856	Error: 6.250000
Train Epoch: 0.27 [16192/60000 (27%)]	Loss: 0.175292	Error: 3.125000
Train Epoch: 0.27 [16256/60000 (27%)]	Loss: 0.321089	Error: 7.812500
Train Epoch: 0.27 [16320/60000 (27%)]	Loss: 0.146491	Error: 1.562500
Train Epoch: 0.27 [16384/60000 (27%)]	Loss: 0.215161	Error: 6.250000
Train Epoch: 0.27 [16448/60000 (27%)]	Loss: 0.090953	Error: 1.562500
Train Epoch: 0.27 [16512/60000 (27%)]	Loss: 0.135884	Error: 4.687500
Train Epoch: 0.28 [16576/60000 (28%)]	Loss: 0.257941	Error: 9.375000
Train Epoch: 0.28 [16640/60000 (28%)]	Loss: 0.320982	Error: 3.125000
Train Epoch: 0.28 [16704/60000 (28%)]	Loss: 0.202461	Error: 7.812500
Train Epoch: 0.28 [16768/60000 (28%)]	Loss: 0.143581	Error: 3.125000
Train Epoch: 0.28 [16832/60000 (28%)]	Loss: 0.236968	Error: 6.250000
Train Epoch: 0.28 [16896/60000 (28%)]	Loss: 0.190210	Error: 4.687500
Train Epoch: 0.28 [16960/60000 (28%)]	Loss: 0.296993	Error: 6.250000
Train Epoch: 0.28 [17024/60000 (28%)]	Loss: 0.077659	Error: 1.562500
Train Epoch: 0.28 [17088/60000 (28%)]	Loss: 0.201209	Error: 4.687500
Train Epoch: 0.28 [17152/60000 (28%)]	Loss: 0.130931	Error: 4.687500
Train Epoch: 0.29 [17216/60000 (29%)]	Loss: 0.205882	Error: 6.250000
Train Epoch: 0.29 [17280/60000 (29%)]	Loss: 0.092790	Error: 3.125000
Train Epoch: 0.29 [17344/60000 (29%)]	Loss: 0.150748	Error: 6.250000
Train Epoch: 0.29 [17408/60000 (29%)]	Loss: 0.297490	Error: 9.375000
Train Epoch: 0.29 [17472/60000 (29%)]	Loss: 0.255493	Error: 4.687500
Train Epoch: 0.29 [17536/60000 (29%)]	Loss: 0.204942	Error: 6.250000
Train Epoch: 0.29 [17600/60000 (29%)]	Loss: 0.087206	Error: 3.125000
Train Epoch: 0.29 [17664/60000 (29%)]	Loss: 0.251165	Error: 6.250000
Train Epoch: 0.29 [17728/60000 (29%)]	Loss: 0.227374	Error: 7.812500
